"","DP","DPNOM","DPMP","MPIO","pop10","hommun10","hrate10","sur10","pop11","hommun11","hrate11","sur11","pop12","hommun12","hrate12","sur12","pop13","hommun13","hrate13","sur13","pop14","hommun14","hrate14","sur14","pop15","hommun15","hrate15","sur15","pop16","hommun16","hrate16","sur16","pop17","hommun17","hrate17","sur17","pop18","hommun18","hrate18","sur18"
"21",5,"Antioquia",5093000,"Betulia",17164,4,2.33045910044279,9997.66954089956,17245,5,2.89939112786315,9997.10060887214,17317,1,0.577467228734769,9999.42253277126,17409,9,5.16973978976392,9994.83026021024,17476,6,3.43327992675669,9996.56672007324,17542,11,6.27066469045719,9993.72933530954,17606,10,5.67988185845734,9994.32011814154,17663,11,6.22770763743418,9993.77229236257,17726,9,5.07728760013539,9994.92271239986
"22",5,"Antioquia",5101000,"Ciudad Bolívar",27699,8,2.88819090941911,9997.11180909058,27579,9,3.26335255085391,9996.73664744915,27458,18,6.55546653070143,9993.4445334693,27335,21,7.68245838668374,9992.31754161332,27210,22,8.08526277104006,9991.91473722896,27084,41,15.1380889085807,9984.86191109142,26957,27,10.0159513298958,9989.98404867011,26828,22,8.20038765468913,9991.79961234531,26698,42,15.7315154693235,9984.26848453068
"23",5,"Antioquia",5107000,"Briceño",8745,5,5.71755288736421,9994.28244711264,8737,9,10.3010186562893,9989.69898134371,8728,10,11.4573785517874,9988.54262144821,8720,12,13.7614678899083,9986.23853211009,8711,11,12.6277120881644,9987.37228791184,8702,23,26.430705584923,9973.56929441508,8692,17,19.558214450069,9980.44178554993,8682,20,23.0361667818475,9976.96383321815,8673,7,8.07102502017756,9991.92897497982
"24",5,"Antioquia",5113000,"Buriticá",6790,1,1.47275405007364,9998.52724594993,6758,0,0,10000,6716,3,4.46694460988684,9995.53305539011,6689,6,8.96995066527134,9991.03004933473,6653,7,10.5215692168946,9989.47843078311,6601,4,6.05968792607181,9993.94031207393,6566,5,7.61498629302467,9992.38501370697,6531,3,4.59347726228755,9995.40652273771,6495,8,12.3171670515781,9987.68283294842
"25",5,"Antioquia",5120000,"Cáceres",33043,23,6.96062706170747,9993.03937293829,33950,28,8.24742268041237,9991.75257731959,34865,24,6.8836942492471,9993.11630575075,35823,23,6.42045613153561,9993.57954386846,36804,26,7.06444951635692,9992.93555048364,37806,26,6.87721525683754,9993.12278474316,38850,19,4.89060489060489,9995.1093951094,39918,16,4.00821684453129,9995.99178315547,41012,54,13.1668779869307,9986.83312201307
"26",5,"Antioquia",5125000,"Caicedo",7935,1,1.26023944549464,9998.7397605545,7992,1,1.25125125125125,9998.74874874875,8050,1,1.24223602484472,9998.75776397515,8099,2,2.46944067168786,9997.53055932831,8161,1,1.22534003185884,9998.77465996814,8205,2,2.4375380865326,9997.56246191347,8275,3,3.62537764350453,9996.3746223565,8330,8,9.60384153661465,9990.39615846339,8396,2,2.38208670795617,9997.61791329204
"27",5,"Antioquia",5129000,"Caldas",73094,62,8.48222836347717,9991.51777163652,74069,55,7.42550864734234,9992.57449135266,75033,34,4.531339543934,9995.46866045607,75984,34,4.47462623710255,9995.5253737629,76919,20,2.60013780730379,9997.3998621927,77847,21,2.69759913676828,9997.30240086323,78756,17,2.15856569658185,9997.84143430342,79652,32,4.01747602069,9995.98252397931,80528,30,3.72541227895887,9996.27458772104
"28",5,"Antioquia",5134000,"Campamento",9386,3,3.19624973364586,9996.80375026635,9330,7,7.502679528403,9992.4973204716,9270,6,6.47249190938511,9993.52750809061,9209,4,4.34357693560647,9995.65642306439,9149,4,4.37206252049404,9995.62793747951,9091,2,2.19997800022,9997.80002199978,9035,1,1.10680686220255,9998.8931931378,8970,5,5.57413600891862,9994.42586399108,8915,2,2.24340998317443,9997.75659001682
"29",5,"Antioquia",5138000,"Cañasgordas",16808,3,1.78486435030938,9998.21513564969,16808,3,1.78486435030938,9998.21513564969,16793,8,4.76388971595308,9995.23611028405,16780,3,1.78784266984505,9998.21215733016,16777,2,1.1921082434285,9998.80789175657,16763,3,1.78965578953648,9998.21034421046,16751,5,2.98489642409408,9997.01510357591,16745,9,5.3747387279785,9994.62526127202,16737,3,1.79243592041585,9998.20756407958
"30",5,"Antioquia",5142000,"Caracolí",4726,0,0,10000,4700,0,0,10000,4671,2,4.28173838578463,9995.71826161421,4646,1,2.15238915195867,9997.84761084804,4616,0,0,10000,4595,0,0,10000,4569,1,2.18866272707376,9997.81133727293,4543,0,0,10000,4519,1,2.21287895552113,9997.78712104448
